INCI_Name,Aliases,Ingredient_Class,Functional_Category,Min_Effective_%,Optimal_%,Max_Safe_%,Primary_Benefits,Mechanism_of_Action,Skin_Concerns,Recommended_pH,Stability_Notes,Irritation_Risk,Comedogenicity_0_5,Pregnancy_Safety,Evidence_Strength,Avg_Time_To_Results,Effect_Strength_Weight,Synergistic_Ingredients,Contraindications,Red_Flag_Tags,Evidence_Level_Normalized,Evidence_Factor,Final_Effect_Score,Sun_Protection_Role,UV_Damage_Role,Tanning_Role,Evidence_Quality,Role_Weight,Clinical_Weight,Sensitive_Skin_Risk,Formulation_Role,Biological_Action,Solubility,Usage_Type,pKa,LogP,MW_Daltons,Avg_Time_Category,Avg_Time_Notes,Regional_Restrictions,Activity_Tier,Activity_Tier_Weight
Sodium Cocoyl Glutamate,Glutamate surfactant,Functional,Amino acid surfactant,2.0,5.0,10.0,Gentle cleansing; Amino acid surfactant; Skin-identical amino acid,Skin-identical amino acid,Hydration; Sensitive Skin,5.0-6.5,Stable,Low,1.0,Safe,Limited,Immediate,0.8,Sodium Lauroyl Glutamate,,,Limited,0.4,0.3200000000000001,,,,Moderate,5.0,4.0,Low,Surfactant,Skin-identical amino acid,Water,Wash-off,,,,Immediate,Immediate,,Tier 4: Inert Functional,0.1
Sodium Lauroyl Glutamate,Glutamate surfactant,Functional,Amino acid surfactant,2.0,5.0,10.0,Gentle cleansing; Amino acid surfactant; Low irritation surfactant,Low irritation surfactant,Sensitive Skin,5.0-6.5,Stable,Low,1.0,Safe,Limited,Immediate,0.8,Sodium Cocoyl Glutamate,,,Limited,0.4,0.3200000000000001,,,,Moderate,5.0,4.0,Low,Surfactant,Low irritation surfactant,Water,Wash-off,,,,Immediate,Immediate,,Tier 4: Inert Functional,0.1
PEG-7 Glyceryl Cocoate,PEG ester,Functional,Refatting surfactant,1.0,3.0,8.0,Skin conditioning; Refatting surfactant; Lipid replenishment,Lipid replenishment,Hydration,5.0-7.0,Stable,Low,2.0,Safe,Limited,N/A - Functional/Excipient,0.5,Sodium Laureth Sulfate,,Ethoxylation concern,Limited,0.4,0.2,,,,Moderate,5.0,4.0,Low,Surfactant,Lipid replenishment,Both,Wash-off,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Glyceryl Stearate,Glycerol stearate,Functional,Emulsifier; Emollient,1.0,3.0,8.0,Barrier Support; Emulsifier; Hydration; Lamellar structure,Lamellar structure,Hydration; Barrier Repair,4.0-8.0,Stable,Low,2.0,Safe,Limited,2-4 weeks,0.6,PEG-100 Stearate,,,Limited,0.4,0.24,,,,Moderate,6.0,4.0,Low,Emollient,Lamellar structure,Both,Leave-on,,,,Short (1-4w),2-4 weeks,,Tier 4: Inert Functional,0.1
PEG-100 Stearate,PEG stearate,Functional,Emulsifier,0.5,2.0,5.0,Emulsion stability; Emulsifier; Nonionic surfactant,Nonionic surfactant,None (functional/excipient ingredient),4.0-8.0,Stable,Low,2.0,Safe,Limited,N/A - Functional/Excipient,0.4,Glyceryl Stearate,,Ethoxylation concern,Limited,0.4,0.16,,,,Moderate,3.0,4.0,Low,Emulsifier,Nonionic surfactant,Both,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Sorbitan Olivate,Olive emulsifier,Functional,Natural emulsifier,1.0,3.0,8.0,Barrier Support; Natural emulsifier; Lamellar emulsifier,Lamellar emulsifier,Barrier Repair; Sensitive Skin,4.5-7.5,Stable,Low,1.0,Safe,Limited,2-4 weeks,0.7,Cetearyl Alcohol,,,Limited,0.4,0.28,,,,Moderate,3.0,4.0,Low,Emulsifier,Lamellar emulsifier,Both,Leave-on,,,,Short (1-4w),2-4 weeks,,Tier 4: Inert Functional,0.1
Cetearyl Olivate,Olive emulsifier,Functional,Natural emulsifier,1.0,3.0,8.0,Barrier Support; Natural emulsifier; Lamellar structure,Lamellar structure,Barrier Repair; Sensitive Skin,4.5-7.5,Stable,Low,1.0,Safe,Limited,2-4 weeks,0.7,Sorbitan Olivate,,,Limited,0.4,0.28,,,,Moderate,3.0,4.0,Low,Emulsifier,Lamellar structure,Both,Leave-on,,,,Short (1-4w),2-4 weeks,,Tier 4: Inert Functional,0.1
Cholesterol,Cholest-5-en-3beta-ol,Functional,Barrier lipid,0.1,0.5,2.0,Barrier Support; SC lipid replacement,SC lipid replacement,Barrier Repair,5.0-7.0,Oxidation sensitive,Low,1.0,Safe,Limited,4-8 weeks,0.9,Ceramides; FA,,,Limited,0.4,0.36,,,,Moderate,8.0,4.0,Low,Skin Conditioning,SC lipid replacement,Oil,Leave-on,,6.4,386.65,Mid (4-8w),4-8 weeks,,Tier 3: Bioactive Base,0.5
Linoleic Acid,Omega-6 fatty acid,Active,Barrier repair,0.5,2.0,5.0,Barrier Support; Anti-acne,Sebum normalization,Barrier Repair; Acne & Oily Skin,4.0-7.0,Oxidation sensitive,Low,1.0,Safe,Limited,4-8 weeks,0.8,Ceramides,,,Limited,0.4,0.3200000000000001,,,,Limited clinical evidence,8.0,4.0,Low,Skin Conditioning,Sebum normalization,Both,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 3: Bioactive Base,0.5
Oleic Acid,Omega-9 fatty acid,Functional,Emollient,0.5,3.0,10.0,Softening; Hydration; Lipid fluidization,Lipid fluidization,Hydration,4.0-7.0,Oxidation sensitive,Moderate,2.0,Safe,Limited,2-4 weeks,0.5,Squalane; Caprylic/Capric Triglyceride,Compromised barrier,Barrier disruption risk,Limited,0.4,0.2,,,,Moderate,6.0,4.0,Medium,Emollient,Lipid fluidization,Both,Leave-on,,,,Short (1-4w),2-4 weeks,,Tier 3: Bioactive Base,0.5
Palmitic Acid,Fatty acid,Functional,Emollient,0.5,2.0,8.0,Barrier Support; Hydration; Occlusive lipid,Occlusive lipid,Hydration; Barrier Repair,4.0-7.0,Stable,Low,2.0,Safe,Limited,2-4 weeks,0.55,Fatty alcohols,,,Limited,0.4,0.22,,,,Moderate,6.0,4.0,Low,Emollient,Occlusive lipid,Both,Leave-on,,,,Short (1-4w),2-4 weeks,,Tier 3: Bioactive Base,0.5
Stearic Acid,Octadecanoic acid,Functional,Emollient; Structurant,0.5,2.0,8.0,Barrier Support; Hydration; Structurant; Occlusive lipid structuring,Occlusive lipid structuring,Hydration; Barrier Repair,4.0-7.0,Stable,Low,2.0,Safe,Limited,2-4 weeks,0.55,Glyceryl Stearate,,,Limited,0.4,0.22,,,,Moderate,6.0,4.0,Low,Emollient,Occlusive lipid structuring,Both,Leave-on,,,,Short (1-4w),2-4 weeks,,Tier 3: Bioactive Base,0.5
Behenyl Alcohol,Docosanol,Functional,Fatty alcohol; Emollient,0.5,2.0,8.0,Barrier Support; Fatty alcohol; Hydration; Occlusive lipid,Occlusive lipid,Hydration; Barrier Repair,4.0-8.0,Stable,Low,2.0,Safe,Limited,2-4 weeks,0.6,Emulsifiers,,,Limited,0.4,0.24,,,,Moderate,6.0,4.0,Low,Emollient,Occlusive lipid,Both,Leave-on,,,,Short (1-4w),2-4 weeks,,Tier 4: Inert Functional,0.1
Arachidyl Alcohol,Eicosanol,Functional,Fatty alcohol; Emollient,0.5,2.0,8.0,Barrier Support; Fatty alcohol; Hydration; Lipid structuring,Lipid structuring,Hydration; Barrier Repair,4.0-8.0,Stable,Low,2.0,Safe,Limited,2-4 weeks,0.6,Behenyl Alcohol,,,Limited,0.4,0.24,,,,Moderate,6.0,4.0,Low,Emollient,Lipid structuring,Both,Leave-on,,,,Short (1-4w),2-4 weeks,,Tier 4: Inert Functional,0.1
Arachidyl Glucoside,Sugar emulsifier,Functional,Emulsifier,0.5,2.0,6.0,Barrier Support; Emulsifier; Lamellar emulsifier,Lamellar emulsifier,Barrier Repair; Sensitive Skin,4.5-7.5,Stable,Low,1.0,Safe,Limited,2-4 weeks,0.7,Fatty alcohols,,,Limited,0.4,0.28,,,,Moderate,3.0,4.0,Low,Emulsifier,Lamellar emulsifier,Both,Wash-off,,,,Short (1-4w),2-4 weeks,,Tier 4: Inert Functional,0.1
Hydrogenated Lecithin,Phospholipid,Functional,Barrier lipid; Emulsifier,0.1,1.0,5.0,Barrier Support; Emulsifier; Lamellar lipid delivery,Lamellar lipid delivery,Barrier Repair,5.0-7.0,Oxidation sensitive,Low,1.0,Safe,Limited,4-8 weeks,0.85,Ceramides,,,Limited,0.4,0.34,,,,Moderate,8.0,4.0,Low,Emulsifier,Lamellar lipid delivery,Both,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 4: Inert Functional,0.1
Phytosphingosine,D-Ribo-phytosphingosine; Tetrahydrosphingosine,Active,Barrier repair,0.05,0.2,1.0,Soothing; Barrier Support; Ceramide precursor,Ceramide precursor,Barrier Repair; Acne & Oily Skin,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.9,Ceramides,,,Limited,0.4,0.36,,,,Limited clinical evidence,8.0,4.0,Low,Skin Conditioning,Ceramide precursor,Both,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 2: Secondary Active,0.8
Ceramide AP,Ceramide 6-II,Functional,Barrier lipid,0.05,0.5,2.0,Barrier Support; SC lipid replacement,SC lipid replacement,Barrier Repair,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.85,Cholesterol; FA,,,Limited,0.4,0.34,,,,Strong Clinical,8.0,4.0,Low,Skin Conditioning,SC lipid replacement,Oil,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 3: Bioactive Base,0.5
Ceramide EOP,Ceramide 1,Functional,Barrier lipid,0.05,0.5,2.0,Barrier Support; Lamellar lipid structuring,Lamellar lipid structuring,Barrier Repair,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.9,Cholesterol; FA,,,Limited,0.4,0.36,,,,Strong Clinical,8.0,4.0,Low,Skin Conditioning,Lamellar lipid structuring,Oil,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 3: Bioactive Base,0.5
Ceramide NS,Ceramide 2,Functional,Barrier lipid,0.05,0.5,2.0,Barrier Support; SC lipid replacement,SC lipid replacement,Barrier Repair,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.85,Cholesterol; FA,,,Limited,0.4,0.34,,,,Strong Clinical,8.0,4.0,Low,Skin Conditioning,SC lipid replacement,Oil,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 3: Bioactive Base,0.5
Copper Tripeptide-1,GHK-Cu,Active,Peptide; Anti-aging,0.01,0.05,0.1,Barrier Support; Anti-aging; Peptide,Copper-mediated wound repair,Aging & Fine Lines; Barrier Repair; Acne & Oily Skin,5.0-7.0,Light sensitive,Low,0.0,Safe,Limited,4-8 weeks,0.9,Niacinamide,Strong acids,Overpriced formulations,Limited,0.4,0.36,,,,Small cosmetic studies; limited independent long-term data,4.0,4.0,Low,Skin Conditioning,Copper-mediated wound repair,Water,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 2: Secondary Active,0.8
Palmitoyl Pentapeptide-4,Matrixyl,Active,Peptide; Anti-aging,0.002,0.01,0.05,Anti-aging; Peptide; Collagen signaling,Collagen signaling,Aging & Fine Lines,5.0-7.0,Stable,Low,0.0,Safe,Limited,8-12 weeks,0.85,Hyaluronic Acid,Strong acids,Claim inflation,Limited,0.4,0.34,,,,Small cosmetic studies; limited independent long-term data,4.0,4.0,Low,Skin Conditioning,Collagen signaling,Water,Leave-on,,,,Long (8w+),8-12 weeks,,Tier 2: Secondary Active,0.8
Palmitoyl Tripeptide-1,Biopeptide CL; Palmitoyl-GHK,Active,Peptide; Repair,0.002,0.01,0.05,Anti-aging; Barrier Support; ECM signaling; Fine line reduction,ECM signaling,Aging & Fine Lines; Barrier Repair,5.0-7.0,Stable,Low,0.0,Safe,Limited,8-12 weeks,0.8,Palmitoyl Tetrapeptide-7,Strong acids,,Limited,0.4,0.3200000000000001,,,,Small cosmetic studies; limited independent long-term data,4.0,4.0,Low,Skin Conditioning,ECM signaling,Water,Leave-on,,,,Long (8w+),8-12 weeks,,Tier 2: Secondary Active,0.8
Palmitoyl Tetrapeptide-7,Peptide Q10,Active,Peptide; Soothing,0.002,0.01,0.05,Soothing; Peptide; Cytokine modulation,Cytokine modulation,Aging & Fine Lines; Redness,5.0-7.0,Stable,Low,0.0,Safe,Limited,8-12 weeks,0.8,Palmitoyl Tripeptide-1,Strong acids,,Limited,0.4,0.3200000000000001,,,,Small cosmetic studies; limited independent long-term data,4.0,4.0,Low,Skin Conditioning,Cytokine modulation,Water,Leave-on,,,,Long (8w+),8-12 weeks,,Tier 2: Secondary Active,0.8
Acetyl Hexapeptide-8,Argireline,Active,Peptide; Anti-wrinkle,0.005,0.05,0.1,Expression line reduction; Peptide; Anti-aging; SNARE complex inhibition,SNARE complex inhibition,Aging & Fine Lines,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.75,Hyaluronic Acid,Strong acids,Botox-like claim inflation,Limited,0.4,0.3,,,,Small cosmetic studies; limited independent long-term data,4.0,4.0,Low,Skin Conditioning,SNARE complex inhibition,Water,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 2: Secondary Active,0.8
Hexapeptide-11,Yeast peptide,Active,Peptide; Firming,0.01,0.05,0.1,Anti-aging; Peptide; ECM stimulation,ECM stimulation,Aging & Fine Lines,5.0-7.0,Stable,Low,0.0,Safe,Limited,8-12 weeks,0.7,Niacinamide,,Limited data,Limited,0.4,0.28,,,,Small cosmetic studies; limited independent long-term data,4.0,4.0,Low,Skin Conditioning,ECM stimulation,Water,Leave-on,,,,Long (8w+),8-12 weeks,,Tier 2: Secondary Active,0.8
Oligopeptide-1,EGF,Active,Growth factor,0.0001,0.001,0.01,Cell renewal; Growth factor; EGF receptor activation,EGF receptor activation,Aging & Fine Lines,6.0-7.0,Heat sensitive,Low,0.0,Avoid pregnancy - use caution,Limited,4-8 weeks,0.9,Panthenol,Acids,Overpriced products,Limited,0.4,0.36,,,,Small cosmetic studies; limited independent long-term data,4.0,4.0,Low,Skin Conditioning,EGF receptor activation,Water,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 2: Secondary Active,0.8
Oligopeptide-2,IGF-like peptide,Active,Growth factor,0.0001,0.001,0.01,Barrier Support; Growth factor; Cell proliferation,Cell proliferation,Barrier Repair,6.0-7.0,Heat sensitive,Low,0.0,Insufficient data; consult doctor before use in pregnancy,Limited,4-8 weeks,0.85,Ceramides,Acids,Regulatory caution,Limited,0.4,0.34,,,,Small cosmetic studies; limited independent long-term data,4.0,4.0,Low,Skin Conditioning,Cell proliferation,Water,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 2: Secondary Active,0.8
Polyglutamic Acid,?-PGA,Functional,Humectant,0.1,1.0,3.0,Hydration; Film-forming humectancy,Film-forming humectancy,Hydration,4.0-7.0,Stable,Low,0.0,Safe,Limited,Immediate,0.65,Hyaluronic Acid,,,Limited,0.4,0.26,,,,Moderate,7.0,4.0,Low,Humectant,Film-forming humectancy,Both,Leave-on,,,,Immediate,Immediate,,Tier 3: Bioactive Base,0.5
Ectoin,"(S)-2-Methyl-1,4,5,6-tetrahydropyrimidine-4-carboxylic acid",Active,Cell-protective,0.1,0.5,2.0,Barrier repair; Stress protection; Osmoprotection; TEWL reduction; Soothing,Osmoprotection,Barrier Repair; Sensitive Skin,5.0-7.0,Highly stable,Low,0.0,Safe,Limited,2-4 weeks,0.8,Ceramides,,,Moderate,0.7,0.3200000000000001,,,,Limited clinical evidence,4.0,6.0,Low,Skin Conditioning,Osmoprotection,Both,Leave-on,,,,Short (1-4w),2-4 weeks,,Tier 2: Secondary Active,0.8
Beta-Glucan,"Oat beta-glucan; (1,3)/(1,4)-beta-D-glucan",Active,Soothing; Repair,0.1,0.5,2.0,Barrier Support; Soothing; Immune modulation,Immune modulation,Hydration; Barrier Repair; Sensitive Skin,4.5-7.0,Stable,Low,0.0,Safe,Limited,2-4 weeks,0.8,Panthenol,,,Moderate,0.7,0.3200000000000001,,,,Limited clinical evidence,4.0,6.0,Low,Skin Conditioning,Immune modulation,Both,Leave-on,,,,Short (1-4w),2-4 weeks,,Tier 2: Secondary Active,0.8
Colloidal Oatmeal,Avena Sativa Kernel Flour,Active,Soothing,0.5,1.0,2.0,Anti-itch; Soothing; Avenanthramides,Avenanthramides,Barrier Repair,5.0-7.0,Stable,Low,1.0,Safe,Limited,1-2 weeks,0.85,Ceramides,,,Limited,0.4,0.34,,,,Limited clinical evidence,4.0,4.0,Low,Skin Conditioning,Avenanthramides,Both,Leave-on,,,,Short (1-4w),1-2 weeks,,Tier 1: Primary Active,1.0
Allantoin,"5-Ureidohydantoin; (2,5-Dioxo-4-imidazolidinyl)urea",Functional,Soothing,0.1,0.5,2.0,Skin protectant; Soothing; Keratoplastic,Keratoplastic,Sensitive Skin; Barrier Repair,4.0-7.0,Stable,Low,0.0,Safe,Limited,1-3 weeks,0.6,Panthenol,,,Limited,0.4,0.24,,,,Moderate,4.0,4.0,Low,Skin Conditioning,Keratoplastic,Water,Leave-on,,-1.57,158.11,Short (1-4w),1-3 weeks,,Tier 2: Secondary Active,0.8
N-Acetyl Glucosamine,NAG,Active,Brightening,2.0,4.0,6.0,Brightening; Melanin transfer inhibition,Melanin transfer inhibition,Pigmentation; Dullness,5.0-7.0,Stable,Low,0.0,Safe,Limited,6-12 weeks,0.8,Niacinamide,,,Limited,0.4,0.3200000000000001,,,,Limited clinical evidence,4.0,4.0,Low,Skin Conditioning,Melanin transfer inhibition,Both,Leave-on,,,,Long (8w+),6-12 weeks,,Tier 2: Secondary Active,0.8
Tranexamic Acid Cetyl Ester,TXA ester,Active,Brightening,0.3,1.0,3.0,Brightening; Enhanced skin penetration,Enhanced skin penetration,Pigmentation; Dullness,5.0-7.0,Stable,Low,0.0,Safe,Limited,8-12 weeks,0.75,Niacinamide,,Limited data,Limited,0.4,0.3,,,,Limited clinical evidence,4.0,4.0,Low,Skin Conditioning,Enhanced skin penetration,Water,Leave-on,,,,Long (8w+),8-12 weeks,,Tier 2: Secondary Active,0.8
Niacinamide Ascorbate,Vitamin B3 + C complex,Active,Brightening; Antioxidant,1.0,3.0,5.0,Brightening; Barrier Support; Antioxidant,Synergistic antioxidant action,Pigmentation; Dullness; Barrier Repair; UV Damage; Aging & Fine Lines,5.0-6.0,Moderate stability,Low,0.0,Safe,Moderate,6-10 weeks,0.75,Ferulic Acid,Low pH acids,Stability dependent,Moderate,0.7,0.5249999999999999,,,,Moderate clinical evidence,5.0,6.0,Low,Antioxidant,Synergistic antioxidant action,Water,Leave-on,,,,Mid (4-8w),6-10 weeks,,Tier 2: Secondary Active,0.8
Ascorbyl Glucoside,Vitamin C derivative,Active,Brightening; Antioxidant,2.0,5.0,10.0,Brightening; Antioxidant; Enzymatic conversion to AA,Enzymatic conversion to AA,Pigmentation; Dullness; UV Damage; Aging & Fine Lines,5.5-7.0,Very stable,Low,0.0,Safe,Moderate,8-12 weeks,0.7,Niacinamide,,Slower results,Moderate,0.7,0.4899999999999999,,,,Moderate,5.0,6.0,Low,Antioxidant,Enzymatic conversion to AA,Both,Wash-off,,,,Long (8w+),8-12 weeks,,Tier 2: Secondary Active,0.8
3-O-Ethyl Ascorbic Acid,Ethylated Vitamin C,Active,Brightening,1.0,3.0,5.0,Brightening; Antioxidant,Direct antioxidant,Pigmentation; Dullness; UV Damage; Aging & Fine Lines,4.5-6.5,Stable,Low,0.0,Safe,Limited,6-10 weeks,0.8,Ferulic Acid,,Overpricing risk,Limited,0.4,0.3200000000000001,,,,Limited clinical evidence,4.0,4.0,Low,Skin Conditioning,Direct antioxidant,Water,Leave-on,,,,Mid (4-8w),6-10 weeks,,Tier 2: Secondary Active,0.8
Magnesium Ascorbyl Phosphate,MAP,Active,Brightening; Antioxidant,3.0,5.0,10.0,Brightening; Antioxidant; Phosphatase conversion,Phosphatase conversion,Pigmentation; Acne & Oily Skin; Dullness; UV Damage; Aging & Fine Lines,6.0-7.5,Highly stable,Low,0.0,Safe,Moderate,8-12 weeks,0.75,Niacinamide,Low pH acids,Slow activation,Moderate,0.7,0.5249999999999999,,,,Moderate clinical evidence,5.0,6.0,Low,Antioxidant,Phosphatase conversion,Water,Leave-on,,,,Long (8w+),8-12 weeks,,Tier 2: Secondary Active,0.8
Sodium Ascorbyl Phosphate,SAP,Active,Brightening; Anti-acne,1.0,3.0,5.0,Anti-acne; Brightening; Antimicrobial,Antimicrobial,Pigmentation; Acne & Oily Skin; Dullness,6.0-7.0,Highly stable,Low,0.0,Safe,Limited,6-10 weeks,0.8,Zinc PCA,Low pH acids,,Limited,0.4,0.3200000000000001,,,,Limited clinical evidence,4.0,4.0,Low,Skin Conditioning,Antimicrobial,Water,Leave-on,,,,Mid (4-8w),6-10 weeks,,Tier 2: Secondary Active,0.8
Retinal,Retinaldehyde,Active,Retinoid,0.05,0.1,0.3,Anti-aging; Anti-acne; Retinoid; RAR activation (indirect),RAR activation (indirect),Aging & Fine Lines; Acne & Oily Skin,5.0-6.0,Light sensitive,High,1.0,Avoid pregnancy,Limited,6-10 weeks,0.95,Niacinamide,Benzoyl Peroxide,Irritation risk,Strong,1.0,0.38,,,,Limited clinical evidence,4.0,8.0,High,Skin Conditioning,RAR activation (indirect),Oil,Leave-on,,,,Mid (4-8w),6-10 weeks,,Tier 1: Primary Active,1.0
Hydroxypinacolone Retinoate,HPR,Active,Ester retinoid,0.1,0.3,1.0,Anti-aging; Ester retinoid; RAR binding,RAR binding,Aging & Fine Lines,5.0-7.0,Light sensitive,Moderate,1.0,Avoid pregnancy,Limited,8-12 weeks,0.85,Peptides,Strong acids,Marketing exaggeration,Limited,0.4,0.34,,,,Limited clinical evidence,4.0,4.0,Medium,Skin Conditioning,RAR binding,Oil,Leave-on,,,,Long (8w+),8-12 weeks,,Tier 1: Primary Active,1.0
Bakuchiol,(E)-1-(4-Hydroxyphenyl)-7-methyl-3-methylene-6-octen-1-one,Active,Retinol-like,0.5,1.0,2.0,Anti-aging; Retinol-like; Gene expression modulation,Gene expression modulation,Aging & Fine Lines,5.0-7.0,Light stable,Low,0.0,Safe,Limited,8-12 weeks,0.7,Niacinamide,,Retinol-equivalent claims,Limited,0.4,0.28,,,,Moderate,4.0,4.0,Low,Skin Conditioning,Gene expression modulation,Both,Leave-on,,5.8,256.38,Long (8w+),8-12 weeks,,Tier 1: Primary Active,1.0
Azelaoyl Diglycinate,PAD,Active,Sebum control,3.0,5.0,10.0,Oil balance; Anti-acne; Azelaic derivative action,Azelaic derivative action,Redness; Acne & Oily Skin,5.0-7.0,Stable,Low,0.0,Safe,Limited,6-10 weeks,0.75,Niacinamide,,,Limited,0.4,0.3,,,,Limited clinical evidence,4.0,4.0,Low,Skin Conditioning,Azelaic derivative action,Both,Leave-on,,,,Mid (4-8w),6-10 weeks,,Tier 2: Secondary Active,0.8
Lipochroman-6,Dimethylmethoxy Chromanol,Active,Antioxidant,0.05,0.1,0.5,Anti-aging; Antioxidant,Broad-spectrum antioxidant,Aging & Fine Lines; UV Damage,4.0-7.0,Very stable,Low,0.0,Safe,Moderate,4-8 weeks,0.85,Vitamin C; E,,Premium pricing,Moderate,0.7,0.595,,,,Moderate clinical evidence,5.0,6.0,Low,Antioxidant,Broad-spectrum antioxidant,Both,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 2: Secondary Active,0.8
Astaxanthin,"3,3'-Dihydroxy-beta,beta-carotene-4,4'-dione",Active,Antioxidant,0.01,0.05,0.2,Anti-aging; Antioxidant; Carotenoid quenching,Carotenoid quenching,Aging & Fine Lines; UV Damage,5.0-7.0,Light sensitive,Low,0.0,Safe,Moderate,4-8 weeks,0.9,Vitamin E,,Color staining risk,Moderate,0.7,0.63,,,,Moderate clinical evidence,5.0,6.0,Low,Antioxidant,Carotenoid quenching,Oil,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 2: Secondary Active,0.8
Coenzyme Q10,Ubiquinone,Active,Antioxidant,0.1,0.5,1.0,Anti-aging; Antioxidant; Mitochondrial electron transport,Mitochondrial electron transport,Aging & Fine Lines; UV Damage,5.0-7.0,Light sensitive,Low,1.0,Safe,Moderate,8-12 weeks,0.8,Vitamin E,,Overpricing risk,Moderate,0.7,0.5599999999999999,,Primary Antioxidant Support,,Moderate clinical evidence,5.0,6.0,Low,Antioxidant,Mitochondrial electron transport,Oil,Leave-on,,11,863.34,Long (8w+),8-12 weeks,,Tier 2: Secondary Active,0.8
Idebenone,Hydroxydecyl Ubiquinone,Active,Antioxidant,0.05,0.5,1.0,Anti-aging; Antioxidant,Free radical scavenging,Aging & Fine Lines; UV Damage,5.0-7.0,Light sensitive,Low,1.0,Safe,Moderate,6-10 weeks,0.85,Vitamin C,,Marketing exaggeration,Moderate,0.7,0.595,,Primary Antioxidant Support,,Moderate clinical evidence,5.0,6.0,Low,Antioxidant,Free radical scavenging,Both,Leave-on,,,,Mid (4-8w),6-10 weeks,,Tier 2: Secondary Active,0.8
Alpha-Lipoic Acid,Thioctic Acid,Active,Antioxidant,0.1,0.5,1.0,Anti-aging; Antioxidant; Redox cycling,Redox cycling,Aging & Fine Lines; Acne & Oily Skin; UV Damage,3.5-4.5,Unstable,Moderate,1.0,Safe,Moderate,4-8 weeks,0.75,Vitamin C,Retinoids,Irritation risk,Moderate,0.7,0.5249999999999999,,,,Moderate clinical evidence,5.0,6.0,Medium,Antioxidant,Redox cycling,Both,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 2: Secondary Active,0.8
Glutathione,gamma-L-Glutamyl-L-cysteinyl-glycine; GSH,Active,Brightening; Antioxidant,0.1,0.5,2.0,Brightening; Antioxidant; Melanin pathway modulation,Melanin pathway modulation,Pigmentation; Dullness; UV Damage; Aging & Fine Lines,5.0-7.0,Oxidation sensitive,Low,0.0,Safe,Moderate,8-12 weeks,0.7,Vitamin C,,Stability issues,Moderate,0.7,0.4899999999999999,,Primary Antioxidant Support,,Moderate,5.0,6.0,Low,Antioxidant,Melanin pathway modulation,Both,Leave-on,,,,Long (8w+),8-12 weeks,,Tier 2: Secondary Active,0.8
Cysteamine HCl,Cysteamine Hydrochloride,Active,Brightening,5.0,5.0,5.0,Melasma treatment; Brightening; Tyrosinase inhibition,Tyrosinase inhibition,Pigmentation; Dullness,7.0-8.0,Odor instability,High,0.0,Avoid pregnancy,Limited,8-16 weeks,0.9,Moisturizers,Acids,Odor; irritation,Limited,0.4,0.36,,,,Limited clinical evidence,4.0,4.0,High,Skin Conditioning,Tyrosinase inhibition,Both,Leave-on,,,,Mid (4-8w),8-16 weeks,,Tier 2: Secondary Active,0.8
