INCI_Name,Aliases,Ingredient_Class,Functional_Category,Min_Effective_%,Optimal_%,Max_Safe_%,Primary_Benefits,Mechanism_of_Action,Skin_Concerns,Recommended_pH,Stability_Notes,Irritation_Risk,Comedogenicity_0_5,Pregnancy_Safety,Evidence_Strength,Avg_Time_To_Results,Effect_Strength_Weight,Synergistic_Ingredients,Contraindications,Red_Flag_Tags,Evidence_Level_Normalized,Evidence_Factor,Final_Effect_Score,Sun_Protection_Role,UV_Damage_Role,Tanning_Role
Idebenone,Hydroxydecyl Ubiquinone,Active,Antioxidant,0.05,0.5,1,Anti-aging,Free radical scavenging,Photoaging,5.0-7.0,Light sensitive,Low,1.0,Safe,Moderate,6-10 weeks,0.85,Vitamin C,,Marketing exaggeration,Moderate,0.7,0.595,,Primary Antioxidant Support,
Alpha-Lipoic Acid,Thioctic Acid,Active,Antioxidant,0.1,0.5,1,Anti-aging,Redox cycling,Aging;Acne,3.0-4.0,Unstable,Medium,1.0,Safe,Moderate,4-8 weeks,0.75,Vitamin C,Retinoids,Irritation risk,Moderate,0.7,0.5249999999999999,,,
Glutathione,Glutathione,Active,Brightening;Antioxidant,0.1,0.5,2,Tone evening,Melanin pathway modulation,Pigmentation,5.0-7.0,Oxidation sensitive,Low,0.0,Safe,Moderate,8-12 weeks,0.7,Vitamin C,,Stability issues,Moderate,0.7,0.4899999999999999,,Primary Antioxidant Support,
Cysteamine HCl,Cysteamine Hydrochloride,Active,Brightening,5,5,5,Melasma treatment,Tyrosinase inhibition,Melasma,7.0-8.0,Odor instability,High,0.0,Avoid pregnancy,Limited,8-16 weeks,0.9,Moisturizers,Acids,Odor; irritation,Limited,0.4,0.36,,,
Thiamidol,Isobutylamido Thiazolyl Resorcinol,Active,Brightening,0.1,0.2,0.2,Hyperpigmentation,Tyrosinase inhibition,Melasma;PIH,5.0-6.0,Stable,Low,0.0,Safe,Limited,8-12 weeks,0.9,Niacinamide,,Proprietary cost,Limited,0.4,0.36,,,
Dipotassium Glycyrrhizate,Licorice salt,Active,Soothing;Brightening,0.1,0.5,2,Redness reduction,Anti-inflammatory,Sensitive skin,4.5-7.0,Stable,Low,0.0,Safe,Limited,2-4 weeks,0.75,Niacinamide,,,Limited,0.4,0.3,,,
Glycyrrhiza Glabra Root Extract,Licorice extract,Active,Brightening;Soothing,0.5,1,3,Pigmentation reduction,Glabridin activity,PIH;Redness,4.5-7.0,Stable,Low,1.0,Safe,Limited,6-10 weeks,0.8,Vitamin C,,,Limited,0.4,0.3200000000000001,,,
Artemisia Capillaris Extract,Mugwort extract,Active,Soothing,0.5,1,3,Calming,Anti-inflammatory flavonoids,Sensitive skin,5.0-7.0,Stable,Low,0.0,Safe,Limited,2-4 weeks,0.75,Centella Extract,,,Limited,0.4,0.3,,,
Propanediol,"1,3-Propanediol",Functional,Solvent;Humectant,1,5,20,Hydration,Solvent action,Dehydration,3.0-10.0,Stable,Low,0.0,Safe,Limited,—,0.45,Glycerin,,,Limited,0.4,0.18,,,
Saccharomyces Ferment Filtrate,Galactomyces-like ferment,Active,Ferment;Brightening,1,3,5,Tone improvement,Postbiotic signaling,Dullness;Texture,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.75,Niacinamide,,,Limited,0.4,0.3,,,
Galactomyces Ferment Filtrate,Pitera-like ferment,Active,Ferment;Sebum balance,1,5,10,Glow;Oil control,Yeast metabolites,Oily skin;Dullness,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.8,Niacinamide,,Overclaim risk,Limited,0.4,0.3200000000000001,,,
Bifida Ferment Lysate,Probiotic lysate,Active,Barrier repair,1,5,10,Resilience,DNA repair signaling,Barrier damage,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.85,Ceramides,,Marketing-heavy,Limited,0.4,0.34,,,
Lactobacillus Ferment Lysate,Postbiotic,Active,Soothing;Barrier,1,3,8,Calming,Microbiome support,Sensitive skin,5.0-7.0,Stable,Low,0.0,Safe,Limited,2-6 weeks,0.8,Panthenol,,,Limited,0.4,0.3200000000000001,,,
Leuconostoc/Radish Root Ferment Filtrate,Natural preservative ferment,Functional,Preservative;Soothing,2,4,10,Preservation,Antimicrobial peptides,Product safety,4.0-7.0,Stable,Low,0.0,Safe,Limited,—,0.3,Glycerin,,Weak preservation alone,Limited,0.4,0.12,,,
Pseudoalteromonas Ferment Extract,Antarctic ferment,Active,Anti-aging;Repair,0.1,0.5,2,Firming,Cryoprotective proteins,Aging,5.0-7.0,Stable,Low,0.0,Safe,Limited,6-10 weeks,0.85,Peptides,,Premium pricing,Limited,0.4,0.34,,,
Alteromonas Ferment Extract,Marine ferment,Active,Soothing,0.5,1,3,Calming,Exopolysaccharides,Sensitive skin,5.0-7.0,Stable,Low,0.0,Safe,Limited,2-4 weeks,0.8,Panthenol,,,Limited,0.4,0.3200000000000001,,,
Tremella Fuciformis Polysaccharide,Snow mushroom extract,Active,Humectant,0.1,0.5,2,Hydration,Polysaccharide water binding,Dehydration,4.0-7.0,Stable,Low,0.0,Safe,Limited,Immediate,0.65,Hyaluronic Acid,,,Limited,0.4,0.26,,,
Pullulan,Pullulan,Functional,Film former,0.1,1,5,Skin tightening,Polysaccharide film,Temporary firming,4.0-7.0,Stable,Low,0.0,Safe,Limited,Immediate,0.4,Humectants,,Temporary effect,Limited,0.4,0.16,,,
Biosaccharide Gum-1,Fucose polymer,Active,Soothing;Hydrating,0.1,1,5,Long-lasting hydration,Bioadhesive polymer,Sensitive skin,4.0-7.0,Stable,Low,0.0,Safe,Limited,Immediate,0.7,Panthenol,,,Limited,0.4,0.28,,,
Sodium Hyaluronate Crosspolymer,Crosslinked HA,Active,Long-term hydration,0.05,0.2,1,Sustained hydration,Reservoir effect,Dehydration,4.0-7.0,Stable,Low,0.0,Safe,Limited,Immediate,0.75,Ceramides,,,Limited,0.4,0.3,,,
Polyquaternium-51,Phospholipid polymer,Functional,Barrier mimetic,0.1,0.5,2,Barrier hydration,Cell-mimetic polymer,Sensitive skin,5.0-7.0,Stable,Low,0.0,Safe,Limited,2-4 weeks,0.8,Ceramides,,,Limited,0.4,0.3200000000000001,,,
Niacinamide Ferulate,Vitamin B3 + Ferulic complex,Active,Antioxidant;Brightening,1,3,5,Tone correction,Synergistic antioxidant stabilization,Dullness;PIH,5.0-6.5,Stable,Low,0.0,Safe,Moderate,6-10 weeks,0.8,Vitamin C derivatives,Strong acids,Limited adoption,Moderate,0.7,0.5599999999999999,,,
Sodium Retinoyl Hyaluronate,Retinoid-HA complex,Active,Anti-aging,0.01,0.05,0.1,Wrinkle reduction,Controlled retinoid release,Aging,5.0-7.0,Light sensitive,Medium,0.0,Avoid pregnancy,Limited,8-12 weeks,0.85,Niacinamide,Benzoyl Peroxide,Premium pricing,Limited,0.4,0.34,,,
Hydroxystearic Acid,12-Hydroxystearic acid,Functional,Structurant,0.2,1,3,Texture stabilization,Gel network formation,Formula stability,4.0-8.0,Stable,Low,1.0,Safe,Limited,—,0.3,Oils,,,Limited,0.4,0.12,,,
Polyhydroxybutyrate,Biopolymer,Functional,Film former,0.1,0.5,2,Skin smoothing,Biodegradable polymer,Texture,4.0-7.0,Stable,Low,0.0,Safe,Limited,Immediate,0.45,Humectants,,Emerging data,Limited,0.4,0.18,,,
Gluconolactone,PHA,Active,Gentle exfoliant,2,5,10,Texture improvement,Chelation;desquamation,Sensitive skin,3.5-4.5,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.8,Niacinamide,Strong acids,,Limited,0.4,0.3200000000000001,,,
Lactobionic Acid,PHA,Active,Exfoliant;Humectant,2,4,8,Glow;Hydration,Chelation;antioxidant,Sensitive skin,3.5-4.5,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.8,Ceramides,Strong acids,,Limited,0.4,0.3200000000000001,,,
Mandelic Acid,AHA,Active,Exfoliant,5,10,15,Acne;Texture,Keratolysis,Acne-prone,3.5-4.5,Stable,Medium,1.0,Safe,Limited,4-8 weeks,0.75,Niacinamide,Retinoids,,Limited,0.4,0.3,,,
Succinic Acid,Succinic acid,Active,Anti-acne,0.5,2,5,Oil control,Antimicrobial,Acne,4.0-6.0,Stable,Low,0.0,Safe,Limited,4-6 weeks,0.7,Niacinamide,,Emerging data,Limited,0.4,0.28,,,
Zinc Gluconate,Zinc salt,Active,Anti-acne,0.1,1,3,Inflammation reduction,Sebum modulation,Acne,5.0-7.0,Stable,Low,1.0,Safe,Limited,4-8 weeks,0.75,Niacinamide,,,Limited,0.4,0.3,,,
Copper PCA,Copper salt,Active,Sebum regulation,0.05,0.2,1,Oil balance,Enzyme modulation,Oily skin,5.0-7.0,Stable,Low,1.0,Safe,Limited,4-8 weeks,0.7,Zinc PCA,,,Limited,0.4,0.28,,,
Magnesium PCA,Magnesium salt,Functional,Hydration,0.1,0.5,2,NMF support,Mineral hydration,Dehydration,5.0-7.0,Stable,Low,0.0,Safe,Limited,Immediate,0.55,Sodium PCA,,,Limited,0.4,0.22,,,
Silica,Silicon dioxide,Functional,Absorbent;Texture enhancer,0.5,3,10,Oil control,Sebum absorption,Oily skin,3.0-10.0,Highly stable,Low,1.0,Safe,Limited,—,0.4,Starch,,Mattifying only,Limited,0.4,0.16,,,
Mica,Mica,Functional,Optical modifier,0.5,2,10,Instant glow,Light reflection,Dull skin,3.0-10.0,Highly stable,Low,1.0,Safe,Limited,—,0.2,Titanium Dioxide,,Cosmetic-only effect,Limited,0.4,0.08000000000000002,,,
Titanium Dioxide,TiO₂,Active,UV filter;Pigment,2,5,25,UV protection,Physical UV scattering,Photoaging,6.0-8.0,Photostable,Low,1.0,Safe topical,Limited,Immediate,1.0,Zinc Oxide,,Nano concern (inhalation),Limited,0.4,0.4,Primary UV Filter,Primary UV Block,Primary UV Block
Zinc Oxide,ZnO,Active,UV filter;Soothing,2,10,25,UV protection,Physical UV reflection,Sensitive skin,6.0-8.0,Photostable,Low,1.0,Safe topical,Limited,Immediate,1.0,Titanium Dioxide,,White cast,Limited,0.4,0.4,Primary UV Filter,Primary UV Block,Primary UV Block
Diethylamino Hydroxybenzoyl Hexyl Benzoate,Uvinul A Plus,Active,UVA filter,1,5,10,UVA protection,UVA absorption,Photoaging,6.0-8.0,Highly stable,Low,0.0,Safe,Limited,Immediate,0.95,Octocrylene,,EU-only,Limited,0.4,0.38,Primary UV Filter,Primary UV Block,Primary UV Block
Ethylhexyl Triazone,Uvinul T150,Active,UVB filter,1,3,5,UVB protection,UVB absorption,Sunburn,6.0-8.0,Extremely stable,Low,0.0,Safe,Limited,Immediate,0.95,UVA filters,,EU-only,Limited,0.4,0.38,Primary UV Filter,Primary UV Block,Primary UV Block
Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine,Tinosorb S,Active,Broad-spectrum UV,1,5,10,UV protection,Broad-spectrum absorption,Photoaging,6.0-8.0,Extremely stable,Low,0.0,Safe,Limited,Immediate,1.0,Tinosorb M,,EU-only,Limited,0.4,0.4,Primary UV Filter,Primary UV Block,Primary UV Block
Methylene Bis-Benzotriazolyl Tetramethylbutylphenol,Tinosorb M,Active,Broad-spectrum UV,1,5,10,UV protection,Hybrid absorption/scattering,Photoaging,6.0-8.0,Extremely stable,Low,0.0,Safe,Limited,Immediate,1.0,Tinosorb S,,EU-only,Limited,0.4,0.4,Primary UV Filter,Primary UV Block,Primary UV Block
Octocrylene,Octocrylene,Active,UVB filter,2,7,10,UV protection,UV absorption,Sunburn,6.0-8.0,Photostable,Medium,2.0,Safe limits,Limited,Immediate,0.9,Avobenzone,,Sensitization risk,Limited,0.4,0.36,Primary UV Filter,Primary UV Block,Primary UV Block
Butyl Methoxydibenzoylmethane,Avobenzone,Active,UVA filter,2,3,5,UVA protection,UVA absorption,Photoaging,6.0-7.5,Photounstable alone,Medium,1.0,Safe,Limited,Immediate,0.9,Octocrylene,,Needs stabilizer,Limited,0.4,0.36,,,
Homosalate,Homosalate,Active,UVB filter,5,10,15,UVB protection,UV absorption,Sunburn,6.0-8.0,Stable,Medium,2.0,Restricted regions,Limited,Immediate,0.7,Octocrylene,,Regulatory scrutiny,Limited,0.4,0.28,Primary UV Filter,Primary UV Block,Primary UV Block
Octisalate,Ethylhexyl Salicylate,Active,UVB filter,3,5,10,UVB protection,UV absorption,Sunburn,6.0-8.0,Stable,Low,1.0,Safe,Limited,Immediate,0.8,Avobenzone,,,Limited,0.4,0.3200000000000001,,,
Ensulizole,Phenylbenzimidazole Sulfonic Acid,Active,UVB filter,1,3,4,UVB protection,UV absorption,Sunburn,6.0-7.5,Stable,Low,0.0,Safe,Limited,Immediate,0.8,Avobenzone,,Water soluble,Limited,0.4,0.3200000000000001,Primary UV Filter,Primary UV Block,Primary UV Block
Drometrizole Trisiloxane,Mexoryl XL,Active,UVA/UVB filter,2,5,10,Broad UV protection,UV absorption,Photoaging,6.0-8.0,Highly stable,Low,0.0,Safe,Limited,Immediate,0.95,Mexoryl SX,,EU-only,Limited,0.4,0.38,,,
Ecamsule,Mexoryl SX,Active,UVA filter,1,3,10,UVA protection,UV absorption,Photoaging,6.0-7.5,Stable,Low,0.0,Safe,Limited,Immediate,0.95,Mexoryl XL,,Limited regions,Limited,0.4,0.38,Primary UV Filter,Primary UV Block,Primary UV Block
Polypodium Leucotomos Extract,Fern extract,Active,Photoprotection,0.5,1,3,UV defense support,Antioxidant,Photoaging,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.8,Sunscreens,,Adjunct only,Limited,0.4,0.3200000000000001,,,
Niacinamide Salicylate,B3 + Salicylate,Active,Anti-acne,1,3,5,Oil control,Anti-inflammatory,Acne,5.0-6.5,Stable,Low,0.0,Safe,Limited,4-6 weeks,0.75,Zinc PCA,,Limited data,Limited,0.4,0.3,,,
Capryloyl Salicylic Acid,LHA,Active,Exfoliant,0.1,0.3,1,Pore refining,Lipophilic keratolysis,Acne;Texture,3.5-4.5,Stable,Medium,1.0,Safe,Limited,4-8 weeks,0.85,Niacinamide,Retinoids,Irritation risk,Limited,0.4,0.34,,,
Hexylresorcinol,Hexyl resorcinol,Active,Brightening,0.1,0.5,1,Tone correction,Tyrosinase inhibition,PIH,4.5-6.5,Stable,Low,0.0,Safe,Limited,6-10 weeks,0.8,Niacinamide,,,Limited,0.4,0.3200000000000001,,,
Phenylethyl Resorcinol,377,Active,Brightening,0.1,0.5,1,Hyperpigmentation,Tyrosinase inhibition,Melasma,4.5-6.5,Stable,Low,0.0,Safe,Limited,6-10 weeks,0.85,Tranexamic Acid,,Premium pricing,Limited,0.4,0.34,,,
Dihydroxyacetone,DHA,Active,Self-tanner,1,5,10,Temporary tan,Maillard reaction,Cosmetic tan,4.0-5.5,Heat sensitive,Medium,0.0,Safe,Limited,Immediate,0.3,Erythrulose,,Streaking risk,Limited,0.4,0.12,,,
Erythrulose,Erythrulose,Active,Self-tanner,1,3,7,Natural-looking tan,Maillard reaction (slow),Cosmetic tan,4.0-5.5,Heat sensitive,Low,0.0,Safe,Limited,24-72 hours,0.35,Dihydroxyacetone,,Patchiness risk,Limited,0.4,0.14,,,
Caffeine,Caffeine,Active,De-puffing;Antioxidant,0.1,0.3,1,De-puffing,Vasoconstriction,Dark circles,4.5-7.0,Stable,Low,1.0,Safe,Moderate,2-4 weeks,0.65,EGCG,,Temporary effect,Moderate,0.7,0.455,,,
EGCG,Epigallocatechin Gallate,Active,Antioxidant;Anti-inflammatory,0.1,0.5,1,Redness reduction,NF-kB inhibition,Acne;Redness,5.0-7.0,Oxidation sensitive,Low,0.0,Safe,Moderate,4-8 weeks,0.8,Caffeine,,Stability issues,Moderate,0.7,0.5599999999999999,,,
Niacinamide PCA,Niacinamide + PCA salt,Active,Hydration;Barrier,1,3,5,Barrier support,NMF enhancement,Dehydration,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.7,Ceramides,,Limited adoption,Limited,0.4,0.28,,,
Sodium DNA,Deoxyribonucleic acid sodium salt,Active,Repair;Hydration,0.05,0.2,1,Skin regeneration,Cell signaling support,Post-procedure,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.8,Peptides,,Emerging data,Limited,0.4,0.3200000000000001,,,
PDRN,Polydeoxyribonucleotide,Active,Regenerative,0.1,0.5,2,Tissue repair,A2 receptor activation,Post-acne;Aging,6.0-7.5,Heat sensitive,Low,0.0,Avoid pregnancy caution,Limited,4-8 weeks,0.9,Peptides,Acids,Injectable-origin bias,Limited,0.4,0.36,,,
Sh-Oligopeptide-1,EGF (recombinant),Active,Growth factor,0.0001,0.001,0.01,Cell renewal,EGFR activation,Aging;Post-procedure,6.0-7.0,Heat sensitive,Low,0.0,Avoid pregnancy caution,Limited,4-8 weeks,0.9,Panthenol,Acids,Cost inflation,Limited,0.4,0.36,,,
Sh-Polypeptide-11,FGF,Active,Growth factor,0.0001,0.001,0.01,Repair,Fibroblast stimulation,Barrier damage,6.0-7.0,Heat sensitive,Low,0.0,Avoid pregnancy caution,Limited,4-8 weeks,0.85,Ceramides,Acids,Regulatory caution,Limited,0.4,0.34,,,
Acetyl Tetrapeptide-5,Eyeseryl,Active,De-puffing peptide,0.01,0.05,0.1,Under-eye de-puffing,Lymphatic modulation,Eye bags,5.0-7.0,Stable,Low,0.0,Safe,Limited,2-6 weeks,0.7,Caffeine,,Temporary effect,Limited,0.4,0.28,,,
Tripeptide-1,GHK,Active,Repair peptide,0.01,0.05,0.1,Skin repair,Copper-binding signaling,Post-acne,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.85,Copper peptides,,,Limited,0.4,0.34,,,
Palmitoyl Dipeptide-7,Peptide,Active,Soothing;Repair,0.002,0.01,0.05,Redness reduction,Anti-inflammatory signaling,Sensitive skin,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.75,Ceramides,,,Limited,0.4,0.3,,,
Acetyl Octapeptide-3,SNAP-8,Active,Peptide;Anti-wrinkle,0.005,0.05,0.1,Expression wrinkle reduction,SNARE complex inhibition,Dynamic wrinkles,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.75,Hyaluronic Acid,Strong acids,Botox-like claim inflation,Limited,0.4,0.3,,,
Pentapeptide-18,Leuphasyl,Active,Peptide;Anti-wrinkle,0.005,0.05,0.1,Muscle relaxation,Neurotransmitter modulation,Expression lines,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.7,Acetyl Hexapeptide-8,Strong acids,Temporary effect,Limited,0.4,0.28,,,
Oligopeptide-20,Epidermal peptide,Active,Growth modulation,0.0001,0.001,0.01,Cell renewal,EGF-like signaling,Aging,6.0-7.0,Heat sensitive,Low,0.0,Avoid pregnancy caution,Limited,4-8 weeks,0.85,Panthenol,Acids,Limited data,Limited,0.4,0.34,,,
Sodium Carboxymethyl Beta-Glucan,Modified beta-glucan,Active,Soothing;Repair,0.1,0.5,2,Barrier repair,Immune modulation,Sensitive skin,4.5-7.0,Stable,Low,0.0,Safe,Limited,2-4 weeks,0.8,Panthenol,,,Limited,0.4,0.3200000000000001,,,
Hydroxypropyltrimonium Hyaluronate,Cationic HA,Active,Conditioning hydration,0.05,0.2,1,Long-lasting hydration,Electrostatic binding,Dehydration,4.0-7.0,Stable,Low,0.0,Safe,Limited,Immediate,0.75,Ceramides,,,Limited,0.4,0.3,,,
Sodium Acetylated Hyaluronate,Super HA,Active,Deep hydration,0.05,0.2,1,Barrier hydration,Enhanced skin affinity,Dehydration,4.0-7.0,Stable,Low,0.0,Safe,Limited,Immediate,0.8,Ceramides,,,Limited,0.4,0.3200000000000001,,,
Hydrolyzed Hyaluronic Acid,Low MW HA,Active,Penetrating hydration,0.01,0.1,0.5,Deep hydration,Low molecular diffusion,Dehydration,4.0-7.0,Stable,Low,0.0,Safe,Limited,Immediate,0.7,Occlusives,,Irritation myths,Limited,0.4,0.28,,,
Sodium Lactate,Lactic acid salt,Functional,Humectant;Buffer,1,3,10,Hydration,NMF component,Dehydration,5.0-7.0,Stable,Low,1.0,Safe,Limited,Immediate,0.6,Glycerin,,Sticky feel,Limited,0.4,0.24,,,
Ammonium Lactate,Lactic acid salt,Functional,Humectant;Keratolytic,5,12,12,Hydration;Smoothing,Corneocyte loosening,Dry skin;KP,4.5-7.0,Stable,Medium,1.0,Safe,Limited,1-3 weeks,0.7,Urea,Inflamed skin,Stinging risk,Limited,0.4,0.28,,,
Sodium PCA Lactate,NMF complex,Functional,Humectant,1,3,10,Hydration,NMF synergy,Dehydration,5.0-7.0,Stable,Low,0.0,Safe,Limited,Immediate,0.6,Glycerin,,,Limited,0.4,0.24,,,
Trehalose,Trehalose,Functional,Humectant,1,3,10,Hydration,Cell protection,Dehydration,4.0-7.0,Stable,Low,0.0,Safe,Limited,Immediate,0.6,Glycerin,,,Limited,0.4,0.24,,,
Erythritol,Erythritol,Functional,Humectant,0.5,2,8,Hydration,Osmoprotection,Sensitive skin,4.0-7.0,Stable,Low,0.0,Safe,Limited,Immediate,0.55,Glycerin,,,Limited,0.4,0.22,,,
Sodium Polyglutamate,Polyglutamic acid sodium salt,Active,Humectant,0.1,1,5,Long-lasting hydration,Film-forming humectancy,Dehydration,4.0-7.0,Stable,Low,0.0,Safe,Limited,Immediate,0.7,Hyaluronic Acid,,,Limited,0.4,0.28,,,
Saccharide Isomerate,Pentavitin,Active,Deep hydration,1,3,5,Long-term moisturization,Covalent skin binding,Dehydration,4.0-7.0,Stable,Low,0.0,Safe,Limited,Immediate,0.75,Glycerin,,,Limited,0.4,0.3,,,
Inulin,Inulin,Active,Prebiotic humectant,0.5,2,5,Microbiome support,Prebiotic action,Sensitive skin,4.0-7.0,Stable,Low,0.0,Safe,Limited,2-4 weeks,0.6,Ferments,,Emerging data,Limited,0.4,0.24,,,
Alpha-Glucan Oligosaccharide,Prebiotic sugar,Active,Microbiome support,0.5,2,5,Barrier balance,Selective microbial feeding,Sensitive skin,4.0-7.0,Stable,Low,0.0,Safe,Limited,2-4 weeks,0.65,Lactobacillus Ferment,,,Limited,0.4,0.26,,,
Fructooligosaccharides,FOS,Active,Prebiotic,0.5,2,5,Microbiome balance,Prebiotic nutrition,Sensitive skin,4.0-7.0,Stable,Low,0.0,Safe,Limited,2-4 weeks,0.6,Ferments,,,Limited,0.4,0.24,,,
Betaine Salicylate,Betaine + Salicylate,Active,Gentle exfoliant,0.5,2,5,Acne smoothing,Mild keratolysis,Acne-prone,4.0-6.0,Stable,Low,1.0,Safe,Limited,4-6 weeks,0.7,Niacinamide,Retinoids,,Limited,0.4,0.28,,,
Gluconic Acid,Gluconic acid,Active,Chelating exfoliant,1,3,6,Gentle exfoliation,Metal chelation,Sensitive skin,3.5-4.5,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.7,PHAs,Strong acids,,Limited,0.4,0.28,,,
Malic Acid,AHA,Active,Exfoliant,3,5,10,Texture improvement,Keratolysis,Dull skin,3.5-4.5,Stable,Medium,1.0,Safe,Limited,4-8 weeks,0.65,Lactic Acid,Retinoids,,Limited,0.4,0.26,,,
Tartaric Acid,AHA,Active,pH adjuster;Exfoliant,1,3,10,Texture smoothing,Chelation,Dullness,3.0-4.0,Stable,Medium,1.0,Safe,Limited,4-8 weeks,0.6,AHAs,Retinoids,,Limited,0.4,0.24,,,
Citramalic Acid,Citramalic acid,Active,Exfoliant,1,3,8,Gentle exfoliation,Keratolysis,Sensitive skin,3.5-4.5,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.6,PHAs,Strong acids,Emerging data,Limited,0.4,0.24,,,
Pyruvic Acid,Pyruvic acid,Active,Exfoliant,2,5,10,Acne resurfacing,Sebum solubilization,Acne;Texture,2.5-3.5,Unstable,High,1.0,Medical use caution,Limited,4-8 weeks,0.8,Salicylic Acid,Retinoids,Irritation risk,Limited,0.4,0.3200000000000001,,,
Azelaic Acid Potassium Salt,Potassium Azelate,Active,Sebum control,3,5,10,Oil balance,Azelaic derivative action,Acne,5.0-7.0,Stable,Low,0.0,Safe,Limited,6-10 weeks,0.7,Niacinamide,,Limited adoption,Limited,0.4,0.28,,,
Ferulic Acid Ethyl Ester,Ethyl Ferulate,Active,Antioxidant,0.3,1,3,Photoprotection,Enhanced lipid solubility antioxidant,Photoaging,4.0-7.0,Light sensitive,Low,0.0,Safe,Moderate,4-8 weeks,0.75,Vitamin C derivatives,,Emerging use,Moderate,0.7,0.5249999999999999,,,
Carnosine,Carnosine,Active,Anti-glycation,0.1,0.5,2,Anti-aging,Glycation inhibition,Aging,5.0-7.0,Stable,Low,0.0,Safe,Limited,6-12 weeks,0.8,Niacinamide,,,Limited,0.4,0.3200000000000001,,,
Ergothioneine,Ergothioneine,Active,Antioxidant,0.01,0.1,0.5,Cell protection,Mitochondrial protection,Photoaging,5.0-7.0,Stable,Low,0.0,Safe,Moderate,4-8 weeks,0.85,Vitamin C;E,,Premium pricing,Moderate,0.7,0.595,,,
Lutein,Lutein,Active,Antioxidant,0.05,0.2,1,Blue-light defense,Carotenoid quenching,Photoaging,5.0-7.0,Light sensitive,Low,0.0,Safe,Moderate,4-8 weeks,0.75,Zeaxanthin,,Coloring effect,Moderate,0.7,0.5249999999999999,,,
Zeaxanthin,Zeaxanthin,Active,Antioxidant,0.05,0.2,1,Blue-light defense,Carotenoid quenching,Photoaging,5.0-7.0,Light sensitive,Low,0.0,Safe,Moderate,4-8 weeks,0.75,Lutein,,Coloring effect,Moderate,0.7,0.5249999999999999,,,
Baicalin,Baicalin,Active,Anti-inflammatory,0.1,0.5,2,Calming,NF-kB modulation,Sensitive skin,5.0-7.0,Stable,Low,0.0,Safe,Limited,2-4 weeks,0.75,Centella Extract,,,Limited,0.4,0.3,,,
Baicalein,Baicalein,Active,Antioxidant,0.05,0.2,1,Anti-aging,Free radical scavenging,Aging,5.0-7.0,Stable,Low,0.0,Safe,Moderate,4-8 weeks,0.8,Ferulic Acid,,,Moderate,0.7,0.5599999999999999,,,
Madecassic Acid,Madecassic acid,Active,Barrier repair,0.05,0.2,1,Soothing,Centella triterpenoid,Sensitive skin,5.0-7.0,Stable,Low,0.0,Safe,Limited,2-6 weeks,0.85,Ceramides,,,Limited,0.4,0.34,,,
Asiatic Acid,Asiatic acid,Active,Repair,0.05,0.2,1,Wound healing,Collagen modulation,Post-acne,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.85,Panthenol,,,Limited,0.4,0.34,,,
Hesperidin Methyl Chalcone,HMC,Active,Vascular support,0.1,0.5,2,Dark circle reduction,Capillary strengthening,Under-eye circles,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.75,Caffeine,,,Limited,0.4,0.3,,,
Diosmin,Diosmin,Active,Vascular support,0.1,0.5,2,Dark circle reduction,Venotonic action,Under-eye circles,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.7,Hesperidin,,,Limited,0.4,0.28,,,
Niacinamide Chloride,Niacinamide salt,Active,Barrier support,1,3,5,Barrier strengthening,Ceramide synthesis,Barrier damage,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.7,Ceramides,,Limited adoption,Limited,0.4,0.28,,,
Adenosine,Adenosine,Active,Anti-wrinkle,0.1,0.3,1,Wrinkle reduction,A2A receptor activation,Aging,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.8,Niacinamide,,,Limited,0.4,0.3200000000000001,,,
Proline,Proline,Active,Barrier repair,0.1,0.5,2,Skin resilience,Collagen precursor,Barrier damage,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.7,Glycine,,,Limited,0.4,0.28,,,
